dataset,gene_id,locus_tag,gene_symbol,annotation,peak_time_h,corr_p,amplitude_cv,rhythmic_tier,rhythmic_flag
Ito2009,syc0014_d,Synpcc7942_1556,,,10.8,3e-05,0.48714609070088793,b,True
Ito2009,syc0015_c,Synpcc7942_1557,rpoD6,group 2 RNA polymerase sigma factor,9.6,0.00028,0.4739684766650183,b,True
Ito2009,syc0030_d,Synpcc7942_1573,,3-oxoacyl-[acyl-carrier protein] reductase,10.4,0.00031,0.632063317576841,b,True
Ito2009,syc0032_d,Synpcc7942_1575,malQ,MalQ (glycogen debranching enzyme-related protein),10.2,0.00034,0.3781688567372405,b,True
Ito2009,syc0067_c,Synpcc7942_1610,pntB,pyridine nucleotide transhydrogenase beta subunit,11.2,0.00026,0.943313231868929,b,True
Ito2009,syc0068_c,Synpcc7942_1611,pntA,NAD(P) transhydrogenase subunit alpha,10.8,0.00042,0.9689855705518268,b,True
Ito2009,syc0069_c,Synpcc7942_1612,pntA,pyridine nucleotide transhydrogenase alpha subunit,11,0.00021,0.992667491675402,b,True
Ito2009,syc0111_d,Synpcc7942_1446,,,10.4,0.00049,0.2545461166452417,b,True
Ito2009,syc0153_c,Synpcc7942_1402,,hypothetical protein,10.4,0.00017,0.4344443867789597,b,True
Ito2009,syc0159_d,Synpcc7942_1396,,hypothetical protein,10.2,6e-05,0.2974608238300798,b,True
Ito2009,syc0164_c,Synpcc7942_1391,comM,competence protein ComM homolog,10.4,0.00078,0.7752711949655807,b,True
Ito2009,syc0201_c,Synpcc7942_1354,,putative export protein,10.8,0.00086,0.6059057362076835,b,True
Ito2009,syc0333_d,Synpcc7942_1217,KaiB,circadian clock protein KaiB,11.2,0.0,0.5710727242530804,b,True
Ito2009,syc0334_d,Synpcc7942_1216,KaiC,circadian clock protein KaiC,11.2,2e-05,0.5791733786692236,b,True
Ito2009,syc0386_c,Synpcc7942_1164,,,10.8,0.00018,0.7215007752239956,b,True
Ito2009,syc0393_c,Synpcc7942_1157,,hypothetical protein,10.8,0.00015,0.6516931802173771,b,True
Ito2009,syc0394_c,Synpcc7942_1156,,hypothetical protein,11,6e-05,0.7254419308961434,b,True
Ito2009,syc0400_d,Synpcc7942_1150,,hypothetical protein,10.6,0.00022,0.5546482824195699,b,True
Ito2009,syc0454_c,Synpcc7942_1095,,hypothetical protein,10,0.00018,0.3199518030664133,b,True
Ito2009,syc0515_c,Synpcc7942_1032,,hypothetical protein,10.8,0.00042,0.30406087070385324,b,True
Ito2009,syc0555_d,Synpcc7942_0989,,hypothetical protein,10.6,4e-05,0.3985193077799267,b,True
Ito2009,syc0601_d,Synpcc7942_0941,,ATP-binding protein of ABC transporter,23.4,0.00042,0.2702798087757318,b,True
Ito2009,syc0682_c,Synpcc7942_0858,"pixJ1, pisJ1, taxD1, tsr, cheD",methyl-accepting chemotaxis protein,23.8,9e-05,0.3208046595656908,b,True
Ito2009,syc0683_c,Synpcc7942_0857,,hypothetical protein,0,0.00018,0.3361230846724071,b,True
Ito2009,syc0684_c,Synpcc7942_0856,,two-component response regulator CheY subfamily,0,0.0006,0.4019740123141787,b,True
Ito2009,syc0685_c,Synpcc7942_0855,"pixG, pisG, taxP1, rer1, cheY, rre36",two-component response regulator PatA subfamily,23.8,0.00069,0.43455955079701264,b,True
Ito2009,syc0706_c,Synpcc7942_0834,,hypothetical protein,11.6,0.00067,1.1146880051407861,b,True
