dataset,gene_id,gene_symbol,annotation,peak_time_h,corr_p,amplitude_cv,rhythmic_tier,rhythmic_flag,peak_time_h_nminus,corr_p_nminus,amplitude_cv_nminus,rhythmic_tier_nminus
Kushige2013,all0232,,hypothetical protein,10.8,0.007,0.273,a,True,11.6,0.010,0.364,b
Kushige2013,all0333,,hypothetical protein,10.6,0.008,0.338,a,True,10,0.003,0.470,a
Kushige2013,all0334,,hypothetical protein,9.0,0.011,0.335,b,True,8.8,0.002,0.439,a
Kushige2013,all0605,,NirB-like protein,13.2,0.029,0.268,b,True,-,-,-,AR
Kushige2013,all0713,glgB,"1,4-alpha-glucan branching enzyme",7.8,0.008,0.301,a,True,6.8,0.030,0.323,b
Kushige2013,all0888,,ribose 5-phosphate isomerase,21.8,0.019,0.232,b,True,20.8,0.041,0.166,c
Kushige2013,all1272,,probable glycogen phosphorylase,15.0,0.028,0.676,b,True,15.6,0.003,0.538,a
Kushige2013,all1353,,putative hydrolase,7.2,0.031,0.206,b,True,6.8,0.033,0.381,b
Kushige2013,all1743,por,light-dependent NADPH-protochlorophyllide oxidoreductase,8.6,0.042,0.34,b,True,10,0.017,0.365,b
Kushige2013,all1797,,unknown protein,6.4,0.043,0.349,b,True,5.6,0.003,0.497,a
Kushige2013,all1897,,heme oxygenase,8.2,0.007,0.45,a,True,8.8,0.046,0.402,b
Kushige2013,all2327,apcF,allophycocyanin beta-18 subunit,8.8,0.005,0.337,a,True,8,0.035,0.421,b
Kushige2013,all2566,gap1,glyceraldehyde-3-phosphate dehydrogenase,16.8,0.02,0.476,b,True,14.4,0.008,0.517,a
Kushige2013,all2567,,hypothetical protein,14.8,0.043,0.527,b,True,14.8,0.023,1.032,b
Kushige2013,all2906,moeB,molybdopterin biosynthesis protein,18.8,0.04,0.25,b,True,17.6,0.018,0.224,b
Kushige2013,all3173,,hypothetical protein,18.6,0.007,0.708,a,True,17.6,0.001,0.712,a
Kushige2013,all3259,,hypothetical protein,10.8,0.028,0.203,b,True,-,-,-,AR
