gene_id,gene_symbol,annotation,peak_time_h,corr_p,amplitude_cv,dataset
all0177,-,flavoprotein,16,0.0001042363152798,0.6503778978329885,Kushige2013
all0254,-,hypothetical protein,0,0.0028282275934768,0.7217554388417106,Kushige2013
all0450,apcA,allophycocyanin alpha subunit,0,0.0040684136814512,0.5885168843643653,Kushige2013
all0866,ccmL,carbon dioxide concentrating mechanism protein CcmL,4,0.000560633850446,0.5610821210133525,Kushige2013
all0891,-,hypothetical protein,0,0.0051208528094064,1.6323758506715589,Kushige2013
all0949,-,hypothetical protein,16,0.0029794981838918,0.6060621021952098,Kushige2013
all1022,-,hypothetical protein,0,1.88544722755167e-05,3.9966964847439264,Kushige2013
all1079,-,probable potassium channel protein,0,0.0029350817728609,1.1398637473516982,Kushige2013
all1154,-,unknown protein,0,0.0197356580614925,0.5728327621216072,Kushige2013
all1272,-,probable glycogen phosphorylase,16,0.0288971054113862,0.7333317122815528,Kushige2013
all1325,-,DNA processing protein,16,0.0104594078157261,0.6190902036138557,Kushige2013
all1395,-,unknown protein,0,0.0009154456941075,0.5548926474332944,Kushige2013
all1424,-,unknown protein,4,0.0018706410577539,0.5949407334208218,Kushige2013
all1425,-,unknown protein,20,0.0008744045985215,0.670344527719497,Kushige2013
all1432,hesA,HesA protein,20,0.0011238829906813,0.6428300956409759,Kushige2013
all1435,-,hypothetical protein,16,0.0011668894753808,0.5649752134316057,Kushige2013
all1436,nifX,nitrogen fixation protein,0,0.0012171812188811,0.6265661877921903,Kushige2013
all1457,nifS,nitrogenase cofactor synthesis protein,20,0.0048040443127817,0.78663739100337,Kushige2013
all1478,-,hypothetical protein,8,0.0132783484044227,2.6763957610276843,Kushige2013
all1517,nifB,nitrogen fixation protein,16,0.0033587899708155,0.6685736102368709,Kushige2013
all1804,-,two-component hybrid sensor and regulator,20,0.0088581260875631,0.6915753517219085,Kushige2013
all2158,-,ferrichrome-iron receptor,20,0.035916382672297,0.7592470267736815,Kushige2013
all2317,-,putative nuclease,0,0.0333098154439862,1.1187339727982102,Kushige2013
all2402,-,hypothetical protein,20,0.0226841680027706,0.5988809422668601,Kushige2013
all2506,-,similar to cyanophycinase,4,0.0137817278244876,0.7796414606185832,Kushige2013
all2528,-,unknown protein,20,0.0288813198874173,0.9825374698356782,Kushige2013
all2567,-,hypothetical protein,16,0.00651085704015,0.7036537899763652,Kushige2013
all2636,-,unknown protein,8,0.020572176825785,0.7972246218427274,Kushige2013
all2910,-,carbonate dehydratase,16,0.0002213902024855,0.5689059858399771,Kushige2013
all2928,rbpB,RNA-binding protein,20,5.91373061421096e-05,0.6392457291940319,Kushige2013
all3574,-,permease protein of ABC transporter,20,0.014744689409572,0.6579535470456177,Kushige2013
all3580,-,unknown protein,0,0.029848290521584,0.6592378619742452,Kushige2013
all3765,-,two-component hybrid sensor and regulator,16,0.0008008411634159,0.8455650503860227,Kushige2013
all3941,-,unknown protein,8,0.0376744059827434,0.5972210688054785,Kushige2013
all4205,rpl14,50S ribosomal protein L14,20,0.0267676657400913,0.67998120651936,Kushige2013
all4212,rpl2,50S ribosomal protein L2,20,0.0084895169009603,0.6092726820995206,Kushige2013
all4689,-,hypothetical protein,12,0.0384328188762705,0.6918114276515139,Kushige2013
all4843,-,unknown protein,20,0.035925290606028,0.7182006434747117,Kushige2013
all4895,-,hypothetical protein,0,0.0080734405989406,0.7302146551409133,Kushige2013
all4923,-,iron(III) dicitrate-binding periplasmic protein,8,0.0180973151282897,0.8514252158261886,Kushige2013
alr0020,apcE,"phycobilisome core-membrane linker polypeptide Lcm, allophycocyanin-associated",8,1.9694522878908e-06,0.5670249104372418,Kushige2013
alr0201,-,hypothetical protein,0,0.0262832416304668,0.7085189288213747,Kushige2013
alr0440,-,hypothetical protein,0,1.36594674405354e-05,0.5886134857588372,Kushige2013
alr0519,-,hypothetical protein,0,2.63350027120881e-05,0.6162607302333785,Kushige2013
alr0523,pecB,phycoerythrocyanin beta chain,12,0.0032348374125795,0.6187763748943579,Kushige2013
alr0524,pecA,phycoerythrocyanin alpha chain,8,3.52065606492935e-07,0.7444772776693569,Kushige2013
alr0525,pecC,phycoerythrocyanin-associated rod linker protein,12,9.11716828468251e-05,0.6271684751584259,Kushige2013
alr0533,cpcF,"phycocyanin alpha subunit phycocyanobilin lyase, CpcF subunit",8,0.0024952394871237,0.5949211019820585,Kushige2013
alr0573,cphA,cyanophycin synthetase,8,0.0305160626810161,0.567958525541555,Kushige2013
alr0600,-,unknown protein,4,3.97895416473e-05,0.5643339600445765,Kushige2013
alr0693,-,unknown protein,16,0.0044611667737231,0.6917951660231519,Kushige2013
alr0760,-,hypothetical protein,16,0.0478010248734946,2.0745145989916196,Kushige2013
alr0831,ziaR,"transcriptional regulator, smtB homolog",16,0.0187893701139906,1.1476543242633404,Kushige2013
alr0895,-,alcohol dehydrogenase,0,0.0045982876573131,1.0241330495781942,Kushige2013
alr0951,coxA1,cytochrome c oxidase subunit I,16,0.0352020389970059,0.6792248018642336,Kushige2013
alr1056,-,unknown protein,20,0.0092126035220708,0.5638902138024565,Kushige2013
alr1401,-,hypothetical protein,0,0.0091836657197445,0.5955532725946626,Kushige2013
alr1407,nifV1,homocitrate synthase,20,0.0003775322078747,0.6237851459854883,Kushige2013
alr1855,-,unknown protein,0,0.0292568587271763,0.6639333195794257,Kushige2013
alr1896,groEL,chaperonin GroEL,16,0.0006748169874929,0.5465977186074538,Kushige2013
alr2132,-,unknown protein,20,0.0083016190853877,0.6944266119306197,Kushige2013
alr2505,-,putative aminotransferase,20,0.0268992778346936,0.6570314191146626,Kushige2013
alr2517,-,hypothetical protein,4,0.0018776337748681,0.592450245618207,Kushige2013
alr2524,-,unknown protein,0,0.0001263798072174,2.186198363288447,Kushige2013
alr2731,ctaC,"ARTO, homolog of cytochrome c oxidase subunit II",20,0.0011412836473819,0.6170795932254748,Kushige2013
alr3015,-,unknown protein,20,0.0079312409317802,0.5686165680163654,Kushige2013
alr3071,-,probable glycosyl transferase,0,0.0221568253516514,0.6039484233717834,Kushige2013
alr3195,-,probable glutathione S-transferase,20,0.000579554975062,0.5491521147882159,Kushige2013
alr3200,-,hypothetical protein,8,0.0344910439824047,1.0614280584655547,Kushige2013
alr3219,-,hypothetical protein,12,0.0010971139076614,0.6179173555399,Kushige2013
alr3330,-,hypothetical protein,12,0.002037155151018,1.022650871473446,Kushige2013
alr3356,-,similar to phytochrome,12,0.0089176554072533,0.5515969275622259,Kushige2013
alr3357,-,hypothetical protein,0,0.0017128905463806,0.7272357321021026,Kushige2013
alr3421,petB,"plastoquinol--plastocyanin reductase, cytochrome b6",4,0.0212795103747834,0.6094999875073923,Kushige2013
alr3661,groES,chaperonin GroES,16,0.0076285897210646,0.8517856145970251,Kushige2013
alr3827,-,hypothetical protein,0,0.0472268766900747,1.063455945026357,Kushige2013
alr3904,-,hypothetical protein,0,0.0072464035722536,0.65231215365811,Kushige2013
alr4258,-,unknown protein,12,0.0060504196031844,0.5666346304390275,Kushige2013
alr4351,-,deoxyxylulose 5-phosphate reductoisomerase,0,0.0193725776171329,0.6007086910046916,Kushige2013
alr4505,-,unknown protein,0,0.0374901503556229,0.7123456871907102,Kushige2013
alr4914,-,unknown protein,16,0.0252361400806112,0.5995336167410243,Kushige2013
alr5127,recJ,single-stranded-DNA-specific exonuclease,0,0.0047067362849054,0.808122895582374,Kushige2013
alr5188,-,two-component response regulator,0,0.0104104174044187,0.8328848628348835,Kushige2013
alr5211,-,probable NADH dehydrogenase,0,0.0245382600642718,0.5709024549430579,Kushige2013
alr5370,-,probable methyltransferase,20,0.022417309375669,1.7114506100035694,Kushige2013
asl0176,-,unknown protein,0,0.000681888005979,3.6886795056827837,Kushige2013
asl0597,-,hypothetical protein,8,0.0041567131361251,0.6539565153827579,Kushige2013
asl1412,-,unknown protein,4,2.64198051582e-05,0.6587526639188561,Kushige2013
asl1516,fdxN,ferrodoxin-like protein (fdxN),12,0.0010457434038625,1.28580765709007,Kushige2013
asl2199,-,unknown protein,20,0.0268310432573952,0.756724109907243,Kushige2013
asl2714,-,hypothetical protein,20,0.0006509907587336,0.6698942351509352,Kushige2013
asl3212,mazE,cell growth regulatory protein,12,0.0115862718068978,0.8051033651621934,Kushige2013
asl3409,-,"nicotinamide nucleotide transhydrogenase, subunit alpha",20,0.0139762682492194,1.1958911548207227,Kushige2013
asl3888,-,hypothetical protein,12,0.0087611101193604,0.7158388966741986,Kushige2013
asl4409,-,unknown protein,8,0.0193288856150715,1.5699170901090231,Kushige2013
asl4640,-,unknown protein,0,0.0412499498194504,1.5217064851213866,Kushige2013
asl4748,-,hypothetical protein,16,0.0067458223496356,1.0157250103540616,Kushige2013
asr0695,hupC,hydrogenase expression/formation protein,12,0.0115123072700013,0.9096954879000793,Kushige2013
asr1405,-,hypothetical protein,12,0.0053685449033968,0.6641679541328819,Kushige2013
asr1406,-,hypothetical protein,20,0.0028086080673641,1.1043283978174787,Kushige2013
asr1953,rps16,30S ribosomal protein S16,4,0.0001946605428042,0.6763740506796163,Kushige2013
asr2160,-,unknown protein,20,0.0298993392233958,0.6632183638030654,Kushige2013
asr3992,psbZ,photosystem II PsbZ protein,8,0.0163434225462418,0.7819071696745968,Kushige2013
asr4678,-,unknown protein,0,0.0135071633723971,0.5880053858732254,Kushige2013
asr5350,-,unknown protein,0,4.99160734435456e-05,0.5861039581099089,Kushige2013
