protein_id_7942,protein_id_anabaena,locus_tag_7942,locus_tag_anabaena,ortholog_method,rbh_confirmed,gene_symbol_7942,annotation_7942,peak_time_h_7942,corr_p_7942,amplitude_cv_7942,rhythmic_tier_7942,gene_symbol_anabaena,annotation_anabaena,peak_time_h_anabaena,corr_p_anabaena,ri_ttest_p_anabaena,amplitude_cv_anabaena,rhythmic_tier_anabaena
WP_011244265.1,WP_010998502.1,Synpcc7942_2137,all4365,RBH,True,chlH,Magnesium protoporphyrin IX chelatase subunit H,23.6,0.00257,0.12493738006803425,a,chlH,protoporphyrin IX magnesium chelatase subunit H,8.0,,0.0448262000088102,0.27145859755314494,AR
WP_011378064.1,WP_044521002.1,Synpcc7942_1522,alr1594,RBH,True,rpoB,RNA polymerase beta subunit,10.8,0.05363,0.13830205121436642,a,rpoB,RNA polymerase beta subunit,16.0,,0.260747447993813,0.408538124265625,AR
WP_011243131.1,WP_010997950.1,Synpcc7942_0711,alr3809,RBH,True,pyrA,carbamoyl-phosphate synthase pyrimidine-specific large chain,21.0,0.00642,0.1131571482541347,a,-,carbamoyl phosphate synthetase large chain,0.0,,0.844712183801131,0.206305282766295,AR
WP_011378437.1,WP_044521124.1,Synpcc7942_2384,alr1911,RBH,True,nifJ,pyruvate flavodoxin oxidoreductase,10.8,0.00024,0.6301023980710933,b,nifJ2,pyruvate:flavodoxin oxidoreductase,16.0,,0.0322140271959434,0.5351668132714644,AR
WP_011243004.1,WP_010997859.1,Synpcc7942_0848,alr3716,RBH,True,uvrA,excinuclease ABC subunit A,21.6,0.01257,0.17553527521922294,a,uvrA,excinuclease ABC subunit A,12.0,,0.789018547399639,0.35526592748663877,AR
WP_011244356.1,WP_010998738.1,Synpcc7942_2047,all4607,RBH,True,gcvP,glycine dehydrogenase,10.2,0.02736,0.10563289705583984,a,-,glycine cleavage system protein P,0.0,,0.307048283404649,0.2028829196280857,AR
WP_011244535.1,WP_010999418.1,Synpcc7942_1869,alr5294,RBH,True,,probable cation efflux system protein,21.2,0.01949,0.13079888746898463,a,-,probable cation efflux system protein,12.0,,0.138441019939814,0.4154069570685669,AR
WP_011243571.1,WP_010995034.1,Synpcc7942_0254,all0860,RBH,True,gyrA,DNA gyrase A subunit,20.6,0.0065,0.10565472754068088,a,-,DNA gyrase A subunit,12.0,,0.894869773179215,0.2421432680158094,AR
WP_011242776.1,WP_010994888.1,Synpcc7942_1085,all0713,RBH,True,glgB,14-alpha-glucan branching enzyme,11.4,0.0377,0.14103637587879672,a,glgB,"1,4-alpha-glucan branching enzyme",8.0,0.008,0.108547534780774,0.31725637641664045,a
WP_011244323.1,WP_010995653.1,Synpcc7942_2080,all1483,RBH,True,,probable phosphoketolase 1,11.0,0.00181,0.3784032899952317,a,-,hypothetical protein,0.0,,0.0373006500768608,0.4718130185167273,AR
WP_011377486.1,WP_010995426.1,Synpcc7942_0194,alr1254,RBH,True,polA,DNA polymerase I,20.4,0.01331,0.16109781844516088,a,-,DNA polymerase I,0.0,,0.901615611255406,0.35831384761972396,AR
WP_011378463.1,WP_010998533.1,Synpcc7942_2440,all4396,RBH,True,pnp,polyribonucleotide nucleotidyltransferase,11.6,0.02514,0.1879667765383754,a,-,polyribonucleotide nucleotidyltransferase,20.0,,0.681724990858622,0.24027004893646908,AR
WP_011243295.1,WP_010997495.1,Synpcc7942_0538,alr3344,RBH,True,"tktA, cbbT",transketolase,20.6,0.02198,0.12976072747224277,a,-,transketolase,16.0,,0.25896342721654,0.3723951086449965,AR
WP_011242912.1,WP_010997786.1,Synpcc7942_0942,all3642,RBH,True,ftsH,cell division protein FtsH,11.6,0.00828,0.14123522320563775,a,ftsH,cell division protein,0.0,,0.0695317298476189,0.1994584445471319,AR
WP_011378349.1,WP_010998628.1,Synpcc7942_2168,all4495,RBH,True,pcrA,ATP-dependent helicase PcrA,23.6,0.06003,0.11237202638821378,a,-,DNA helicase II,8.0,,0.162059026697647,0.194576960874035,AR
WP_011377966.1,WP_010999084.1,Synpcc7942_1293,alr4958,RBH,True,pheT,phenylalanyl-tRNA synthetase,22.2,0.00259,0.1821283321281614,a,-,phenylalanyl-tRNA synthetase,0.0,,0.0849477539916349,0.24420272481373304,AR
WP_011377978.1,WP_010996592.1,Synpcc7942_1313,all2436,RBH,True,aspS,aspartyl-tRNA synthetase,20.6,0.05097,0.11552825140432554,a,-,aspartate--tRNA ligase,0.0,,0.0115354032678863,0.4219201320758403,AR
WP_011244730.1,WP_010998383.1,Synpcc7942_1669,all4245,RBH,True,kdpB,potassium-transporting ATPase B chain,10.4,0.00069,0.4815140013610114,b,-,potassium-dependent ATPase subunit B,4.0,,0.407034847603434,0.3093575213177281,AR
WP_011378253.1,WP_010999179.1,Synpcc7942_1959,alr5053,RBH,True,proS,proline-tRNA ligase,22.2,0.02238,0.15378367493874223,a,-,prolyl-tRNA synthetase,4.0,,0.241670212126318,0.18015946782106207,AR
WP_011378428.1,WP_010998516.1,Synpcc7942_2365,all4379,RBH,True,"prfC, tos",peptide-chain-release factor 3,21.6,0.06086,0.12438725888287473,a,-,peptide-chain-release factor 3,4.0,,0.627602420803962,0.22219617675802014,AR
WP_011243548.1,WP_010995886.1,Synpcc7942_0277,all1717,RBH,True,lig,DNA ligase,16.2,0.06768,0.10744785572040381,a,-,DNA ligase,12.0,,0.439093187724864,0.39805160061624106,AR
WP_011243832.1,WP_010995281.1,Synpcc7942_2588,alr1108,RBH,True,ubiD,3-octaprenyl-4-hydroxybenzoate carboxy-lyase UbiD,21.6,0.00125,0.10424070686330443,a,-,hypothetical protein,4.0,,0.936408566123716,0.2976872496942878,AR
WP_011242648.1,WP_010997037.1,Synpcc7942_1216,alr2886,RBH,True,KaiC,circadian clock protein KaiC,11.2,2e-05,0.5791733786692236,b,kaiC,circadian oscillation regulator,20.0,,0.597443183045684,0.39623338335548286,AR
WP_011242913.1,WP_010998322.1,Synpcc7942_0941,all4183,RBH,True,,ATP-binding protein of ABC transporter,23.4,0.00042,0.2702798087757318,b,-,ATP-binding protein of ABC transporter,0.0,,0.0001538443957159,0.17833241546204884,AR
WP_011243299.1,WP_044521778.1,Synpcc7942_0534,alr3464,RBH,True,glmS,L-glutamine:D-fructose-6-P amidotransferase,22.8,0.00388,0.15195759199808728,a,nodM,glutamine-fructose-6-P-aminotransferase,4.0,,0.106129385267781,0.325003423778659,AR
WP_011244566.1,WP_010997591.1,Synpcc7942_1838,alr3441,RBH,True,chlB,light-independent protochlorophyllide reductase subunit B,11.2,0.00084,0.4767016366913205,b,chlB,light-independent protochlorophyllide reductase subunit B,12.0,,0.786290150366095,0.3134345342151825,AR
WP_011242444.1,WP_010995693.1,Synpcc7942_1426,alr1524,RBH,True,rbcL,"ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit",21.6,0.00242,0.1002665271854971,a,rbcL,"ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit",4.0,,0.0278852946544307,0.2762983402437099,AR
WP_011377403.1,WP_010995520.1,Synpcc7942_0019,alr1348,RBH,True,sir,ferredoxin-sulfite reductase,10.8,0.00586,0.35352493664758106,a,sir,ferredoxin-sulfite reductase,16.0,,0.134976526730628,0.24925238534110147,AR
WP_039755959.1,WP_010997860.1,Synpcc7942_1577,all3717,RBH,True,argS,arginyl-tRNA-synthetase,22.4,0.02871,0.19126775381983793,a,argS,arginyl-tRNA-synthetase,0.0,,0.987144219025778,0.2507028812622596,AR
WP_011244430.1,WP_010998098.1,Synpcc7942_1976,alr3957,RBH,True,ndhD1,NADH dehydrogenase subunit 4,9.4,0.00215,0.2354463602346302,a,ndhD1,NADH dehydrogenase subunit 4,12.0,,0.0881825845763628,0.38869426121586,AR
WP_011244097.1,WP_010999165.1,Synpcc7942_2315,all5039,RBH,True,atpB,ATP synthase beta chain of F1,22.0,0.01056,0.11108839832237627,a,atpB,ATP synthase beta chain of F1,4.0,,0.383181510081811,0.31127972717994823,AR
WP_011377767.1,WP_010996319.1,Synpcc7942_0859,all2161,RBH,True,,two-component hybrid sensor and regulator,0.2,0.003,0.2814895991072464,a,-,two-component hybrid sensor and regulator,12.0,,0.92055202666203,0.29890157464534656,AR
WP_011377539.1,WP_010994182.1,Synpcc7942_0336,all0005,RBH,True,atpA,ATP synthase alpha chain of F1,21.2,0.01316,0.1161926989758456,a,atpA,ATP synthase alpha chain of F1,4.0,,0.337826824341863,0.23716731084435705,AR
WP_011378158.1,WP_010995995.1,Synpcc7942_1719,alr1827,RBH,True,icd,isocitrate dehydrogenase (NADP+),21.8,0.00527,0.178701949250387,a,icd,isocitrate dehydrogenase (NADP),16.0,,0.055280034782928,0.24454727930652834,AR
WP_011244321.1,WP_010998520.1,Synpcc7942_2082,alr4383,RBH,True,fus,elongation factor EF-G,11.0,0.00062,0.7355909186836768,b,fus,translation elongation factor EF-G,16.0,,0.126933079087937,0.26706135679259985,AR
WP_011244001.1,WP_010998211.1,Synpcc7942_2415,all4071,RBH,True,lysS,lysyl-tRNA synthetase,20.4,0.01245,0.13587451666927758,a,lysS,lysyl-tRNA synthetase,0.0,,0.0693666781404574,0.3222792741973294,AR
WP_011243361.1,WP_010998321.1,Synpcc7942_0469,all4182,RBH,True,"yibO, pgm",phosphoglycerate mutase,21.8,4e-05,0.15895681399183995,a,-,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",0.0,,0.0755439599414608,0.3203781284238037,AR
