locus_tag,organism,gene_symbol,source_annotation,source_category,in_current_refseq,protein_id,refseq_product,refseq_still_hypothetical,best_hit_method,best_hit_database,best_hit_id,best_hit_description,best_hit_evalue,best_hit_query_coverage,best_hit_query_range,n_evidence_rows,confidence_call,evidence_level,reannotated_category
all0001,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0002,anabaena,-,unknown protein,Hypothetical,True,WP_010994179.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF11646.14,Protein of unknown function DUF3258,0.35,0.298,151-223,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0012,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994189.1,class I SAM-dependent methyltransferase,False,HMMER hmmscan,Pfam-A,PF08242.19,Methyltransferase domain,5.7e-19,0.2406,59-154,24,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0017,anabaena,-,unknown protein,Hypothetical,True,WP_010994194.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF30139.1,PMRT1 N-terminal domain,0.13,0.3757,58-122,5,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0025,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994202.1,SRPBCC family protein,False,HMMER hmmscan,Pfam-A,PF10604.16,Polyketide cyclase / dehydrase and lipid transport,9.4e-30,0.9589,5-144,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0028,anabaena,-,unknown protein,Hypothetical,True,WP_010994205.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0037,anabaena,-,unknown protein,Hypothetical,True,WP_010994214.1,tellurite resistance TerB family protein,False,HMMER hmmscan,Pfam-A,PF05099.19,Tellurite resistance protein TerB,0.033,0.7838,23-138,4,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0040,anabaena,-,unknown protein,Hypothetical,True,WP_044520462.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF13231.13,Dolichyl-phosphate-mannose-protein mannosyltransferase,0.0012,0.2415,110-237,15,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0041,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994218.1,lysylphosphatidylglycerol synthase transmembrane domain-containing protein,False,HMMER hmmscan,Pfam-A,PF03706.19,Lysylphosphatidylglycerol synthase TM region,1.2e-59,0.9025,14-300,6,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0042,anabaena,-,hypothetical protein,Hypothetical,True,WP_197535804.1,glycosyltransferase family 2 protein,False,HMMER hmmscan,Pfam-A,PF00535.33,Glycosyl transferase family 2,9.7e-15,0.4604,26-176,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0047,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994224.1,DUF4335 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF14233.12,Domain of unknown function (DUF4335),4e-43,0.3823,9-211,1,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0048,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994225.1,DUF3038 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF11237.14,Protein of unknown function (DUF3038),5.3e-68,0.8159,33-196,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0050,anabaena,-,unknown protein,Hypothetical,True,WP_010994227.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF26785.1,Domain of unknown function (DUF8257),1.7,0.113,286-324,4,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0059,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994236.1,GumC family protein,False,HMMER hmmscan,Pfam-A,PF02706.21,Chain length determinant protein,1.8e-08,0.1197,22-108,18,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0065,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994242.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF26769.1,"Sensor protein PhoQ-like, HAMP domain",26.0,0.1379,99-114,2,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0071,anabaena,-,unknown protein,Hypothetical,True,WP_044520475.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF26720.2,"Myb-binding protein 1A-like, TPR repeats",0.0034,0.6667,23-152,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0085,anabaena,-,unknown protein,Hypothetical,True,WP_044520477.1,rod shape-determining protein MreD,False,HMMER hmmscan,Pfam-A,PF04093.18,rod shape-determining protein MreD,2.4e-07,0.68,55-190,5,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0089,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520479.1,SIMPL domain-containing protein,False,HMMER hmmscan,Pfam-A,PF04402.20,Protein of unknown function (DUF541),5.3e-51,0.8065,46-245,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0112,anabaena,-,unknown protein,Hypothetical,True,WP_010994289.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF24245.2,INO80 complex subunit F,0.2,0.0921,30-51,3,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0118,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994295.1,GNAT family N-acetyltransferase,False,HMMER hmmscan,Pfam-A,PF13508.14,Acetyltransferase (GNAT) domain,7.8e-14,0.4744,52-125,6,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0119,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994296.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF19455.5,Family of unknown function (DUF5993),0.31,0.3212,44-87,2,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0123,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994300.1,Uma2 family endonuclease,False,HMMER hmmscan,Pfam-A,PF05685.19,Putative restriction endonuclease,3.9e-37,0.9038,11-198,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0127,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994304.1,membrane protein insertion efficiency factor YidD,False,HMMER hmmscan,Pfam-A,PF01809.25,Putative membrane protein insertion efficiency factor,3.7e-05,0.3706,12-74,1,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0131,anabaena,-,unknown protein,Hypothetical,True,WP_010994308.1,PEP-CTERM sorting domain-containing protein,False,HMMER hmmscan,Pfam-A,PF07589.17,PEP-CTERM protein-sorting motif,0.086,0.1068,180-201,2,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
