old_locus_tag,protein_id
Synpcc7942_0001,WP_070105208.1
Synpcc7942_0002,WP_199290672.1
Synpcc7942_0003,WP_011243804.1
Synpcc7942_0004,WP_011243803.1
Synpcc7942_0005,WP_011377397.1
Synpcc7942_0006,WP_011243801.1
Synpcc7942_0007,WP_011377398.1
Synpcc7942_0008,WP_231621372.1
Synpcc7942_0009,WP_011243798.1
Synpcc7942_0010,WP_231621371.1
Synpcc7942_0011,WP_126147300.1
Synpcc7942_0012,WP_011377401.1
Synpcc7942_0013,WP_011243794.1
Synpcc7942_0014,WP_011243793.1
Synpcc7942_0015,WP_011243792.1
Synpcc7942_0016,WP_011243791.1
Synpcc7942_0017,WP_011243790.1
Synpcc7942_0018,WP_011377402.1
Synpcc7942_0019,WP_011377403.1
Synpcc7942_0020,WP_011243787.1
Synpcc7942_0021,WP_011243786.1
Synpcc7942_0022,WP_011377404.1
Synpcc7942_0023,WP_011243784.1
Synpcc7942_0024,WP_011377405.1
Synpcc7942_0025,WP_161565872.1
Synpcc7942_0026,WP_011243781.1
Synpcc7942_0027,WP_265575057.1
Synpcc7942_0028,WP_011377407.1
Synpcc7942_0029,WP_011243778.1
Synpcc7942_0030,WP_011243777.1
Synpcc7942_0031,WP_011243776.1
Synpcc7942_0032,WP_011243775.1
Synpcc7942_0033,WP_011243774.1
Synpcc7942_0035,WP_011377409.1
Synpcc7942_0036,WP_011377410.1
Synpcc7942_0037,WP_011377411.1
Synpcc7942_0038,WP_011377412.1
Synpcc7942_0039,WP_011377413.1
Synpcc7942_0040,WP_011243769.1
Synpcc7942_0041,WP_011377414.1
Synpcc7942_0042,WP_011243767.1
Synpcc7942_0043,WP_011243766.1
Synpcc7942_0044,WP_011377415.1
Synpcc7942_0045,WP_199290689.1
Synpcc7942_0046,WP_011243763.1
Synpcc7942_0047,WP_011377417.1
Synpcc7942_0048,WP_011377418.1
Synpcc7942_0049,WP_011377419.1
Synpcc7942_0050,WP_011243761.1
Synpcc7942_0051,WP_011377420.1
Synpcc7942_0052,WP_011243759.1
Synpcc7942_0053,WP_011243758.1
Synpcc7942_0054,WP_011243757.1
Synpcc7942_0055,WP_011377421.1
Synpcc7942_0056,WP_011377422.1
Synpcc7942_0057,WP_011243755.1
Synpcc7942_0058,WP_011243754.1
Synpcc7942_0059,WP_011377423.1
Synpcc7942_0061,WP_011377425.1
Synpcc7942_0062,WP_011243752.1
Synpcc7942_0063,WP_011243751.1
Synpcc7942_0064,WP_011377426.1
Synpcc7942_0065,WP_011243750.1
Synpcc7942_0066,WP_011243749.1
Synpcc7942_0067,WP_011243748.1
Synpcc7942_0068,WP_011243747.1
Synpcc7942_0069,WP_011377428.1
Synpcc7942_0070,WP_011243746.1
Synpcc7942_0071,WP_011243745.1
Synpcc7942_0072,WP_011243744.1
Synpcc7942_0073,WP_011243743.1
Synpcc7942_0074,WP_011377429.1
Synpcc7942_0075,WP_011243741.1
Synpcc7942_0076,WP_011243740.1
Synpcc7942_0077,WP_011243739.1
Synpcc7942_0078,WP_011243738.1
Synpcc7942_0079,WP_011243737.1
Synpcc7942_0080,WP_011243736.1
Synpcc7942_0081,WP_011377430.1
Synpcc7942_0082,WP_011377431.1
Synpcc7942_0083,WP_011243733.1
Synpcc7942_0084,WP_011377432.1
Synpcc7942_0085,WP_011377433.1
Synpcc7942_0086,WP_011243730.1
Synpcc7942_0087,WP_011377434.1
Synpcc7942_0088,WP_231621368.1
Synpcc7942_0089,WP_011243727.1
Synpcc7942_0090,WP_011243726.1
Synpcc7942_0091,WP_011243725.1
Synpcc7942_0092,WP_011243724.1
Synpcc7942_0093,WP_011377435.1
Synpcc7942_0094,WP_011377436.1
Synpcc7942_0095,WP_011377437.1
Synpcc7942_0096,WP_011243720.1
Synpcc7942_0097,WP_011377438.1
Synpcc7942_0098,WP_011243718.1
Synpcc7942_0099,WP_011243717.1
Synpcc7942_0100,WP_011377439.1
Synpcc7942_0101,WP_011377440.1
Synpcc7942_0102,WP_011377441.1
Synpcc7942_0103,WP_231621367.1
Synpcc7942_0104,WP_039755500.1
Synpcc7942_0105,WP_011377443.1
Synpcc7942_0106,WP_011243710.1
Synpcc7942_0107,WP_231621366.1
Synpcc7942_0108,WP_011243708.1
Synpcc7942_0109,WP_011377445.1
Synpcc7942_0110,WP_011377446.1
Synpcc7942_0111,WP_011377447.1
Synpcc7942_0112,WP_011377448.1
Synpcc7942_0113,WP_011243703.1
Synpcc7942_0114,WP_011243702.1
Synpcc7942_0115,WP_011377449.1
Synpcc7942_0116,WP_011243700.1
Synpcc7942_0117,WP_011243699.1
Synpcc7942_0118,WP_011377450.1
Synpcc7942_0119,WP_011243696.1
Synpcc7942_0120,WP_011377451.1
Synpcc7942_0121,WP_011377452.1
Synpcc7942_0122,WP_011243693.1
Synpcc7942_0124,WP_011243692.1
Synpcc7942_0125,WP_011243691.1
Synpcc7942_0126,WP_272948005.1
