protein_id,refseq_product
WP_006195022.1,photosystem II reaction center protein K
WP_011055119.1,"plasmid replication protein, CyRepA1 family"
WP_011055120.1,hypothetical protein
WP_011055121.1,hypothetical protein
WP_011055126.1,hypothetical protein
WP_011055128.1,tyrosine-type recombinase/integrase
WP_011055129.1,BrnT family toxin
WP_011055130.1,BrnA antitoxin family protein
WP_011055132.1,DUF2442 domain-containing protein
WP_011055135.1,DJ-1/PfpI family protein
WP_011055136.1,LuxR C-terminal-related transcriptional regulator
WP_011055137.1,DUF305 domain-containing protein
WP_011055138.1,two-component system sensor histidine kinase RppB
WP_011055139.1,two-component system response regulator RppA
WP_011055140.1,ANL24
WP_011055141.1,winged helix-turn-helix domain-containing protein
WP_011055144.1,tyrosine-type recombinase/integrase
WP_011055145.1,type II toxin-antitoxin system PemK/MazF family toxin
WP_011055146.1,hypothetical protein
WP_011055147.1,nucleotidyltransferase family protein
WP_011055148.1,ParB/RepB/Spo0J family partition protein
WP_011055149.1,ParA family protein
WP_011055150.1,hypothetical protein
WP_011055151.1,type II toxin-antitoxin system VapC family toxin
WP_011055152.1,rhodanese-like domain-containing protein
WP_011055153.1,family 2A encapsulin nanocompartment cargo protein cysteine desulfurase CyD
WP_011055154.1,family 2A encapsulin nanocompartment shell protein SrpI
WP_011055155.1,serine O-acetyltransferase EpsC
WP_011055156.1,cysteine synthase A
WP_011055157.1,four-helix bundle copper-binding protein
WP_011055158.1,ANL43
WP_011055159.1,RrF2 family transcriptional regulator
WP_011055160.1,beta-class carbonic anhydrase
WP_011055161.1,catalase family peroxidase
WP_011055162.1,MgtC/SapB family protein
WP_011055163.1,chromate transporter
WP_011055164.1,cysteine synthase A
WP_011055165.1,gamma-glutamyltransferase family protein
WP_011055166.1,DUF4242 domain-containing protein
WP_011055167.1,acyl-CoA dehydrogenase family protein
WP_011055168.1,ABC transporter ATP-binding protein
WP_011055169.1,ABC transporter substrate-binding protein
WP_011055170.1,ABC transporter permease
WP_011055171.1,hypothetical protein
WP_011055172.1,BrnT family toxin
WP_011055174.1,hypothetical protein
WP_011242314.1,flavodoxin FldA
WP_011242315.1,chlorophyll a/b binding light-harvesting protein
WP_011242317.1,type II toxin-antitoxin system VapC family toxin
WP_011242318.1,RNB domain-containing ribonuclease
WP_011242320.1,LexA family protein
WP_011242324.1,PHP domain-containing protein
WP_011242330.1,acyltransferase
WP_011242331.1,hypothetical protein
WP_011242335.1,hypothetical protein
WP_011242339.1,cupredoxin domain-containing protein
WP_011242343.1,glucose 1-dehydrogenase
WP_011242344.1,MGH1-like glycoside hydrolase domain-containing protein
WP_011242346.1,H(+)/Cl(-) exchange transporter ClcA
WP_011242351.1,M14 family metallopeptidase
WP_011242360.1,Tab2/Atab2 family RNA-binding protein
WP_011242361.1,S1 RNA-binding domain-containing protein
WP_011242364.1,long-chain acyl-[acyl-carrier-protein] reductase
WP_011242365.1,acetyl-CoA carboxylase carboxyltransferase subunit alpha
WP_011242366.1,SDR family oxidoreductase
WP_011242367.1,GTP cyclohydrolase I FolE
WP_011242368.1,PhzF family phenazine biosynthesis protein
WP_011242369.1,SpoIID/LytB domain-containing protein
WP_011242370.1,ATP adenylyltransferase family protein
WP_011242371.1,DUF2256 domain-containing protein
WP_011242381.1,NAD(P) transhydrogenase subunit alpha
WP_011242382.1,NAD(P) transhydrogenase subunit alpha
WP_011242384.1,50S ribosomal protein L34
WP_011242385.1,ribonuclease P protein component
WP_011242386.1,PH domain-containing protein
WP_011242387.1,membrane protein insertase YidC
WP_011242388.1,protein jag
WP_011242391.1,AAA family ATPase
WP_011242392.1,B12-binding domain-containing radical SAM protein
WP_011242393.1,peptidase U32 family protein
WP_011242394.1,hypothetical protein
WP_011242396.1,glycosyltransferase family 4 protein
WP_011242397.1,hypothetical protein
WP_011242400.1,cytochrome b/b6 domain-containing protein
WP_011242401.1,hypothetical protein
WP_011242402.1,cytochrome c6 PetJ
WP_011242403.1,tetratricopeptide repeat protein
WP_011242404.1,hypothetical protein
WP_011242406.1,hypothetical protein
WP_011242408.1,iron-regulated protein A
WP_011242410.1,Ycf34 family protein
WP_011242411.1,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
WP_011242413.1,lysophospholipid acyltransferase family protein
WP_011242414.1,ACP S-malonyltransferase
WP_011242415.1,beta-ketoacyl-ACP synthase III
WP_011242416.1,phosphate acyltransferase PlsX
WP_011242419.1,hypothetical protein
WP_011242421.1,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
WP_011242422.1,quinolinate synthase NadA
WP_011242426.1,class II fructose-bisphosphate aldolase
WP_011242427.1,VOC family protein
WP_011242428.1,adenosylcobinamide-phosphate synthase CbiB
WP_011242429.1,homoserine kinase
WP_011242430.1,NAD(P)H-quinone oxidoreductase subunit 4
WP_011242433.1,DUF6439 family protein
WP_011242435.1,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
WP_011242436.1,hypothetical protein
WP_011242437.1,N-acetyl-gamma-glutamyl-phosphate reductase
WP_011242439.1,peptidylprolyl isomerase
WP_011242440.1,hypothetical protein
WP_011242441.1,hypothetical protein
WP_011242442.1,5-(carboxyamino)imidazole ribonucleotide synthase
WP_011242443.1,ribulose bisphosphate carboxylase small subunit
WP_011242444.1,form I ribulose bisphosphate carboxylase large subunit
WP_011242445.1,carbon dioxide-concentrating mechanism protein CcmK
WP_011242446.1,hypothetical protein
WP_011242448.1,EutN/CcmL family microcompartment protein
WP_011242449.1,carbon dioxide-concentrating mechanism protein CcmK
WP_011242451.1,ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein
WP_011242452.1,S-layer homology domain-containing protein
WP_011242453.1,type I DNA topoisomerase
WP_011242454.1,NAD(P)H-quinone oxidoreductase subunit N
WP_011242455.1,ABC transporter ATP-binding protein
WP_011242457.1,YbjN domain-containing protein
WP_011242458.1,lipoate--protein ligase family protein
WP_011242460.1,Fe(3+) ABC transporter substrate-binding protein
WP_011242461.1,class I SAM-dependent methyltransferase
WP_011242468.1,VOC family protein
WP_011242471.1,glycosyltransferase
WP_011242473.1,hypothetical protein
WP_011242474.1,hypothetical protein
WP_011242475.1,M61 family metallopeptidase
WP_011242477.1,choice-of-anchor I family protein
WP_011242478.1,YifB family Mg chelatase-like AAA ATPase
WP_011242480.1,photosystem II q(b) protein
WP_011242481.1,carbonic anhydrase family protein
