locus_tag,organism,best_hit_id,best_hit_description,best_hit_evalue,refseq_product
all0025,anabaena,PF10604.16,Polyketide cyclase / dehydrase and lipid transport,9.4e-30,SRPBCC family protein
all0042,anabaena,PF00535.33,Glycosyl transferase family 2,9.7e-15,glycosyltransferase family 2 protein
all0089,anabaena,PF04402.20,Protein of unknown function (DUF541),5.3e-51,SIMPL domain-containing protein
all0143,anabaena,PF00535.33,Glycosyl transferase family 2,7.3e-24,2'-O-glycosyltransferase CruG
all0144,anabaena,PF04240.18,Carotenoid biosynthesis protein,1.4e-87,gamma-carotene 1'-hydroxylase CruF
all0195,anabaena,PF03960.22,ArsC family,1.2e-12,Spx/MgsR family RNA polymerase-binding regulatory protein
all0216,anabaena,PF10674.15,Ycf54 protein,9.9e-47,MgPME-cyclase complex family protein
all0219,anabaena,PF00563.26,EAL domain,2e-74,putative bifunctional diguanylate cyclase/phosphodiesterase
all0244,anabaena,PF02698.24,DUF218 domain,7e-12,YdcF family protein
all0250,anabaena,PF00149.34,Calcineurin-like phosphoesterase,9.4e-15,metallophosphoesterase
all0251,anabaena,PF00149.34,Calcineurin-like phosphoesterase,3.7e-15,metallophosphoesterase
all0268,anabaena,PF13483.13,Beta-lactamase superfamily domain,2.2e-55,MBL fold metallo-hydrolase
all0355,anabaena,PF04055.28,Radical SAM superfamily,1e-15,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
all0385,anabaena,PF06080.19,Protein of unknown function (DUF938),3.8e-94,class I SAM-dependent methyltransferase
all0391,anabaena,PF07690.22,Major Facilitator Superfamily,4.8e-12,MFS transporter
all0415,anabaena,PF01663.28,Type I phosphodiesterase / nucleotide pyrophosphatase,5.7e-68,alkaline phosphatase family protein
all0425,anabaena,PF30732.1,Domain of unknown function (DUF8713),4.3e-64,scytonemin biosynthesis cyclase/decarboxylase ScyC
all0437,anabaena,PF13319.12,Protein of unknown function (DUF4090),2.4e-45,small RNA NsiR4-regulated ssr1528 family protein
all0458,anabaena,PF00210.31,Ferritin-like domain,1.2e-30,Dps family protein
all0481,anabaena,PF03364.26,Polyketide cyclase / dehydrase and lipid transport,3.3e-11,SRPBCC family protein
all0497,anabaena,PF09721.16,Transmembrane exosortase (Exosortase_EpsH),2.2e-59,cyanoexosortase B
all0513,anabaena,PF00578.28,AhpC/TSA family,9.6e-18,thioredoxin family protein
all0604,anabaena,PF05973.21,Phage derived protein Gp49-like (DUF891),4.8e-20,type II toxin-antitoxin system RelE/ParE family toxin
all0615,anabaena,PF05974.19,Domain of unknown function (DUF892),3e-48,ferritin-like domain-containing protein
all0646,anabaena,PF11264.14,Thylakoid formation protein,3.1e-100,photosystem II biogenesis protein Psp29
all0748,anabaena,PF11947.14,Photosynthesis affected mutant 68,1.4e-60,PAM68 family protein
all0753,anabaena,PF01850.28,PIN domain,1.3e-13,type II toxin-antitoxin system VapC family toxin
all0767,anabaena,PF01042.27,Endoribonuclease L-PSP,1.3e-23,RidA family protein
all0781,anabaena,PF00082.28,Subtilase family,1.5e-15,S8 family serine peptidase
all0792,anabaena,PF03364.26,Polyketide cyclase / dehydrase and lipid transport,8e-14,SRPBCC family protein
all0852,anabaena,PF03364.26,Polyketide cyclase / dehydrase and lipid transport,9.9e-25,SRPBCC family protein
all0858,anabaena,PF09685.16,Magnetosome magnetite crystal formation protein family,2.4e-19,DUF4870 domain-containing protein
all0861,anabaena,PF13598.13,Domain of unknown function (DUF4139),1e-68,mucoidy inhibitor MuiA family protein
all0902,anabaena,PF13462.13,Thioredoxin,2.1e-20,DsbA family protein
all0932,anabaena,PF01171.28,PP-loop domain,1.8e-52,tRNA lysidine(34) synthetase TilS
all0949,anabaena,PF02628.21,Cytochrome oxidase assembly protein,2.5e-28,COX15/CtaA family protein
all0985,anabaena,PF02401.24,LytB protein,9.9e-83,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
all1023,anabaena,PF09654.16,Protein of unknown function (DUF2396),1.3e-87,TIGR02652 family protein
all1034,anabaena,PF05973.21,Phage derived protein Gp49-like (DUF891),4.1e-26,type II toxin-antitoxin system RelE/ParE family toxin
all1091,anabaena,PF05635.18,23S rRNA-intervening sequence protein,5.1e-21,four helix bundle protein
all1149,anabaena,PF08592.17,Anthrone oxygenase,1.9e-17,DUF1772 domain-containing protein
all1162,anabaena,PF14489.12,QueF-like protein,2.2e-34,preQ(1) synthase
all1211,anabaena,PF04459.18,Protein of unknown function (DUF512),5.4e-77,TIGR03279 family radical SAM protein
all1265,anabaena,PF04480.19,Protein of unknown function (DUF559),9.6e-36,endonuclease domain-containing protein
all1340,anabaena,PF24276.2,Family of unknown function (DUF7469),1.3e-108,Npun_F0813 family protein
all1355,anabaena,PF05757.17,Oxygen evolving enhancer protein 3,1.2e-19,photosystem II protein PsbQ
all1367,anabaena,PF03602.22,Conserved hypothetical protein 95,7.6e-52,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
all1435,anabaena,PF03270.19,"Protein of unknown function, DUF269",1e-49,NifX-associated nitrogen fixation protein
all1483,anabaena,PF09364.16,XFP N-terminal domain,6.4e-183,phosphoketolase family protein
all1641,anabaena,PF07690.22,Major Facilitator Superfamily,8e-41,MFS transporter
all1711,anabaena,PF07690.22,Major Facilitator Superfamily,9.6e-16,MFS transporter
all1732,anabaena,PF10664.16,Cyanobacterial and plastid NDH-1 subunit M,1.1e-38,NAD(P)H-quinone oxidoreductase subunit M
all1737,anabaena,PF00535.33,Glycosyl transferase family 2,7.9e-25,glycosyltransferase
all1750,anabaena,PF23381.2,IFT122 first beta-propeller,2.3e-33,WD40 repeat domain-containing protein
all1756,anabaena,PF21053.4,"Biogenesis factor required for ATP synthase 1, C-terminal domain",5.9e-60,DUF3598 family protein
all1758,anabaena,PF07228.18,Stage II sporulation protein E (SpoIIE),1.5e-56,PP2C family protein-serine/threonine phosphatase
all1764,anabaena,PF09837.16,Uncharacterized protein conserved in bacteria (DUF2064),1.7e-35,TIGR04282 family arsenosugar biosynthesis glycosyltransferase
all1800,anabaena,PF02254.25,TrkA-N domain,2.5e-27,potassium channel family protein
all1816,anabaena,PF02698.24,DUF218 domain,1e-27,YdcF family protein
all1843,anabaena,PF00420.30,NADH-ubiquinone/plastoquinone oxidoreductase chain 4L,4.8e-23,cation:proton antiporter subunit C
all1881,anabaena,PF00188.33,Cysteine-rich secretory protein family,4.4e-14,CAP domain-containing protein
all1882,anabaena,PF00188.33,Cysteine-rich secretory protein family,1.9e-12,CAP domain-containing protein
all1886,anabaena,PF00535.33,Glycosyl transferase family 2,3.6e-16,glycosyltransferase family 2 protein
all1995,anabaena,PF00156.34,Phosphoribosyl transferase domain,2.8e-19,phosphoribosyltransferase
all2002,anabaena,PF19991.6,Heavy metal associated domain 2,1e-13,HMA2 domain-containing protein
all2115,anabaena,PF11103.15,Protein of unknown function (DUF2887),1.4e-76,Rpn family recombination-promoting nuclease/putative transposase
all2177,anabaena,PF11103.15,Protein of unknown function (DUF2887),1.4e-73,Rpn family recombination-promoting nuclease/putative transposase
all2196,anabaena,PF01850.28,PIN domain,1.8e-13,type II toxin-antitoxin system VapC family toxin
all2260,anabaena,PF11845.14,Tll0287,1.6e-42,c-type heme family protein
all2317,anabaena,PF00565.24,Staphylococcal nuclease homologue,1.1e-15,thermonuclease family protein
all2381,anabaena,PF03364.26,Polyketide cyclase / dehydrase and lipid transport,1.2e-18,SRPBCC family protein
all2425,anabaena,PF08291.17,Peptidase M15,1.6e-36,D-Ala-D-Ala carboxypeptidase family metallohydrolase
all2461,anabaena,PF05673.20,Protein of unknown function (DUF815),4.1e-96,ATP-binding protein
all2501,anabaena,PF04551.20,GcpE TIM-barrel domain,1.4e-89,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
all2567,anabaena,PF09364.16,XFP N-terminal domain,5.8e-184,phosphoketolase family protein
all2598,anabaena,PF13460.13,NAD(P)H-binding,2.6e-23,SDR family oxidoreductase
all2653,anabaena,PF00296.27,Luciferase-like monooxygenase,2.8e-43,LLM class flavin-dependent oxidoreductase
all2658,anabaena,PF04116.20,Fatty acid hydroxylase,1.2e-27,sterol desaturase family protein
all2673,anabaena,PF07690.22,Major Facilitator Superfamily,5.3e-21,MFS transporter
all2685,anabaena,PF01850.28,PIN domain,8.2e-14,type II toxin-antitoxin system VapC family toxin
all2703,anabaena,PF11103.15,Protein of unknown function (DUF2887),1.4e-81,Rpn family recombination-promoting nuclease/putative transposase
all2706,anabaena,PF03547.24,Membrane transport protein,1.8e-12,AEC family transporter
all2720,anabaena,PF00534.27,Glycosyl transferases group 1,2.1e-25,glycosyltransferase family 4 protein
all2724,anabaena,PF03079.21,ARD/ARD' family,1.4e-12,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"
all2753,anabaena,PF00561.27,alpha/beta hydrolase fold,7.4e-27,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase"
all2804,anabaena,PF11848.14,PIN domain,1.9e-54,DUF3368 domain-containing protein
all2852,anabaena,PF00149.34,Calcineurin-like phosphoesterase,5.3e-21,metallophosphoesterase family protein
all2907,anabaena,PF14464.12,Prokaryotic homologs of the JAB domain,1.1e-25,Mov34/MPN/PAD-1 family protein
all2931,anabaena,PF00903.32,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,2.3e-14,VOC family protein
all3011,anabaena,PF03649.19,Uncharacterised protein family (UPF0014),9.3e-87,ABC transporter permease
all3033,anabaena,PF03600.23,Citrate transporter,2e-57,SLC13 family permease
all3259,anabaena,PF11833.14,Protein CHAPERONE-LIKE PROTEIN OF POR1-like,4.5e-74,CPP1-like family protein
all3320,anabaena,PF30637.1,Alg8 N-terminal domain,9.2e-127,type VI secretion system tip protein VgrG
all3327,anabaena,PF14065.12,Pvc16 N-terminal domain,8.4e-39,DUF4255 domain-containing protein
all3354,anabaena,PF01795.26,MraW methylase family,4.5e-108,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH
all3378,anabaena,PF13354.13,Beta-lactamase enzyme family,1.5e-20,serine hydrolase
all3391,anabaena,PF14108.12,ABA DEFICIENT 4-like,8.5e-51,ABA4-like family protein
