# category is assigned from the Anabaena side only (Kushige's own curated scheme; Ito publishes no equivalent) -- see notebook Sec 2.
locus_tag_7942,locus_tag_anabaena,gene_symbol_7942,gene_symbol_anabaena,annotation_7942,annotation_anabaena,category,amplitude_cv_7942,amplitude_cv_anabaena,amp_pct_7942,amp_pct_anabaena,cycling_7942,cycling_anabaena
Synpcc7942_0890,alr4344,"glsF, gltS","glsF, gltS",ferredoxin-dependent glutamate synthase,ferredoxin-dependent glutamate synthase,Other categories,0.06592469464574034,0.379411735127923,0.06242544731610338,0.6133808095952024,AR,AR
Synpcc7942_2137,all4365,chlH,chlH,Magnesium protoporphyrin IX chelatase subunit H,protoporphyrin IX magnesium chelatase subunit H,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.12493738006803425,0.27145859755314494,0.5125248508946322,0.2589955022488756,a,AR
Synpcc7942_1522,alr1594,rpoB,rpoB,RNA polymerase beta subunit,RNA polymerase beta subunit,Transcription,0.13830205121436642,0.408538124265625,0.6123260437375746,0.6872188905547226,a,AR
Synpcc7942_1372,alr0308,metH,-,5-methyltetrahydrofolate--homocysteine methyltransferase,5-methyltetrahydrofolate--homocysteine S-methyltransferase,Amino acid biosynthesis,0.0950183949482459,0.27446566923738525,0.2481113320079523,0.2704272863568216,AR,AR
Synpcc7942_0711,alr3809,pyrA,-,carbamoyl-phosphate synthase pyrimidine-specific large chain,carbamoyl phosphate synthetase large chain,"Purines, pyrimidines, nucleosides, and nucleotides",0.1131571482541347,0.206305282766295,0.4031809145129225,0.06502998500749625,a,AR
Synpcc7942_1326,all5215,,-,transcription-repair coupling factor,transcriptional-repair coupling factor,Regulatory functions,0.11904483852546303,0.4796406242334439,0.45566600397614315,0.8302098950524738,AR,AR
Synpcc7942_2384,alr1911,nifJ,nifJ2,pyruvate flavodoxin oxidoreductase,pyruvate:flavodoxin oxidoreductase,Central intermediary metabolism,0.6301023980710933,0.5351668132714644,0.9852882703777336,0.8928035982008995,b,AR
Synpcc7942_0097,alr1689,cobN,CobN,cobalamin biosynthetic protein CobN,"cobalt chelatase, cobalamin biosynthetic protein CobN","Biosynthesis of cofactors, prosthetic groups, and carriers",0.10849598992644491,0.40267489948020857,0.36739562624254474,0.6722263868065967,AR,AR
Synpcc7942_0848,alr3716,uvrA,uvrA,excinuclease ABC subunit A,excinuclease ABC subunit A,"DNA replication, recombination, and repair",0.17553527521922294,0.35526592748663877,0.7916500994035786,0.5436656671664168,a,AR
Synpcc7942_0289,alr4851,secA,secA,preprotein translocase SecA subunit,preprotein translocase SecA subunit,Cellular processes,0.11669603307716704,0.3301543253412504,0.43538767395626243,0.46701649175412296,AR,AR
Synpcc7942_0260,alr2999,clpC,clpB,ATP-dependent Clp protease regulatory subunit,endopeptidase Clp ATP-binding chain,Translation,0.0520038950231666,0.2580134625841611,0.018290258449304174,0.21345577211394304,AR,AR
Synpcc7942_2437,alr1073,ileS,ileS,isoleucyl-tRNA synthetase,isoleucyl-tRNA synthetase,Translation,0.07252603495028002,0.3238577589604316,0.09502982107355865,0.4471514242878561,AR,AR
Synpcc7942_1089,alr5084,,clpB,ClpB protein,endopeptidase Clp ATP-binding chain B,Translation,0.10449260426162556,0.26342995875971503,0.32882703777335986,0.23200899550224888,AR,AR
Synpcc7942_0903,all1267,acnB,-,aconitate hydratase 2,aconitate hydratase,Energy metabolism,0.09730876752247418,0.4395586896544884,0.2644135188866799,0.7580584707646177,AR,AR
