old_locus_tag,protein_id
all0002,WP_010994179.1
asl0003,WP_010994180.1
all0004,WP_010994181.1
all0005,WP_010994182.1
all0006,WP_010994183.1
all0007,WP_010994184.1
all0008,WP_010994185.1
asl0009,WP_010994186.1
all0010,WP_010994187.1
all0012,WP_010994189.1
asr0013,WP_010994190.1
alr0014,WP_010994191.1
all0017,WP_010994194.1
alr0020,WP_010994197.1
alr0021,WP_010994198.1
alr0022,WP_010994199.1
asr0023,WP_010994200.1
alr0024,WP_010994201.1
all0025,WP_010994202.1
asl0026,WP_010994203.1
asl0027,WP_231865500.1
all0028,WP_010994205.1
alr0029,WP_044522641.1
alr0030,WP_231865501.1
alr0031,WP_010994208.1
all0032,WP_010994209.1
alr0033,WP_044522644.1
alr0034,WP_010994211.1
alr0035,WP_010994212.1
all0036,WP_010994213.1
all0037,WP_010994214.1
alr0038,WP_010994215.1
alr0039,WP_010994216.1
all0040,WP_044520462.1
all0041,WP_010994218.1
all0042,WP_197535804.1
asr0043,WP_010994220.1
alr0044,WP_010994221.1
alr0045,WP_010994222.1
asl0046,WP_044520465.1
all0047,WP_010994224.1
all0048,WP_010994225.1
all0049,WP_010994226.1
all0050,WP_010994227.1
alr0051,WP_010994228.1
alr0053,WP_044520472.1
alr0054,WP_010994231.1
alr0055,WP_010994232.1
alr0056,WP_010994233.1
alr0058,WP_010994235.1
all0059,WP_010994236.1
asl0060,WP_010994237.1
all0061,WP_010994238.1
asr0062,WP_010994239.1
alr0063,WP_010994240.1
asr0064,WP_010994241.1
all0065,WP_010994242.1
all0066,WP_044522646.1
all0067,WP_010994244.1
alr0068,WP_010994245.1
alr0069,WP_010994246.1
all0070,WP_010994247.1
all0071,WP_044520475.1
alr0072,WP_010994249.1
alr0073,WP_010994250.1
alr0074,WP_010994251.1
alr0075,WP_010994252.1
alr0076,WP_010994253.1
alr0077,WP_010994254.1
alr0078,WP_010994255.1
alr0079,WP_010994256.1
alr0080,WP_010994257.1
asr0081,WP_010994258.1
all0082,WP_010994259.1
alr0084,WP_010994261.1
all0085,WP_044520477.1
all0086,WP_010994263.1
all0087,WP_044520478.1
