protein_id,refseq_product
WP_006196398.1,30S ribosomal protein S12
WP_006276978.1,translation initiation factor IF-1
WP_010993831.1,E2/UBC family protein
WP_010993833.1,DUF6527 family protein
WP_010993834.1,nucleotidyltransferase domain-containing protein
WP_010993835.1,hypothetical protein
WP_010993836.1,CD-NTase-associated endodeoxyribonuclease Cap4
WP_010993837.1,hypothetical protein
WP_010993838.1,hypothetical protein
WP_010993839.1,tyrosine-type recombinase/integrase
WP_010993841.1,hypothetical protein
WP_010993842.1,hypothetical protein
WP_010993843.1,hypothetical protein
WP_010993845.1,siphovirus Gp157 family protein
WP_010993846.1,hypothetical protein
WP_010993847.1,hypothetical protein
WP_010993848.1,A1S_2505 family phage non-structural protein
WP_010993849.1,DJ-1/PfpI family protein
WP_010993850.1,LuxR C-terminal-related transcriptional regulator
WP_010993851.1,TetR/AcrR family transcriptional regulator
WP_010993854.1,TetR/AcrR family transcriptional regulator
WP_010993855.1,hypothetical protein
WP_010993856.1,ATP-binding protein
WP_010993857.1,DUF192 domain-containing protein
WP_010993858.1,hypothetical protein
WP_010993859.1,hypothetical protein
WP_010993860.1,hypothetical protein
WP_010993861.1,hypothetical protein
WP_010993862.1,hypothetical protein
WP_010993863.1,hypothetical protein
WP_010993864.1,TrbI/VirB10 family protein
WP_010993865.1,hypothetical protein
WP_010993868.1,hypothetical protein
WP_010993870.1,hypothetical protein
WP_010993871.1,DUF6884 domain-containing protein
WP_010993872.1,hypothetical protein
WP_010993873.1,hypothetical protein
WP_010993875.1,hypothetical protein
WP_010993876.1,hypothetical protein
WP_010993877.1,"bifunctional 5,10-methylenetetrahydrofolate dehydrogenase/5,10-methenyltetrahydrofolate cyclohydrolase"
WP_010993878.1,hypothetical protein
WP_010993880.1,DEAD/DEAH box helicase
WP_010993881.1,hypothetical protein
WP_010993882.1,hypothetical protein
WP_010993883.1,bifunctional DNA primase/polymerase
WP_010993884.1,hypothetical protein
WP_010993885.1,hypothetical protein
WP_010993886.1,hypothetical protein
WP_010993887.1,prokaryotic E2 ligase family D protein
WP_010993888.1,Mov34/MPN/PAD-1 family protein
WP_010993889.1,ThiF family adenylyltransferase
WP_010993891.1,IS630 family transposase
WP_010993892.1,helix-turn-helix domain-containing protein
WP_010993893.1,hypothetical protein
WP_010993894.1,hypothetical protein
WP_010993896.1,DUF5895 domain-containing protein
WP_010993897.1,DNA polymerase III subunit beta
WP_010993898.1,DNA polymerase III subunit gamma/tau
WP_010993899.1,hypothetical protein
WP_010993900.1,3'-5' exonuclease
WP_010993901.1,hypothetical protein
WP_010993903.1,AAA family ATPase
WP_010993904.1,hypothetical protein
WP_010993905.1,hypothetical protein
WP_010993906.1,hypothetical protein
WP_010993907.1,single-stranded DNA-binding protein
WP_010993908.1,hypothetical protein
WP_010993909.1,ParA family protein
WP_010993910.1,ParB/RepB/Spo0J family partition protein
WP_010993911.1,two-component system sensor histidine kinase RppB
WP_010993912.1,two-component system response regulator RppA
WP_010993914.1,cysteine synthase family protein
WP_010993916.1,universal stress protein
WP_010993917.1,TVP38/TMEM64 family protein
WP_010993918.1,methyltransferase family protein
WP_010993919.1,DUF2933 domain-containing protein
WP_010993920.1,heavy metal translocating P-type ATPase
WP_010993921.1,YHS domain-containing protein
WP_010993922.1,DUF305 domain-containing protein
WP_010993923.1,hypothetical protein
WP_010993925.1,DUF2808 domain-containing protein
WP_010993926.1,DUF2808 domain-containing protein
WP_010993928.1,tetratricopeptide repeat protein
WP_010993929.1,Nramp family divalent metal transporter
WP_010993930.1,arsenic resistance protein
WP_010993931.1,CbtB domain-containing protein
WP_010993932.1,hypothetical protein
WP_010993933.1,two-component system sensor histidine kinase RppB
WP_010993934.1,two-component system response regulator RppA
WP_010993936.1,RpoD/SigA family RNA polymerase sigma factor
WP_010993937.1,heme-binding protein cemA
WP_010993938.1,cation diffusion facilitator family transporter
WP_010993939.1,hypothetical protein
WP_010993941.1,hypothetical protein
WP_010993942.1,iron uptake porin
WP_010993943.1,sigma-70 family RNA polymerase sigma factor SigB
WP_010993944.1,SanA/YdcF family protein
WP_010993946.1,CusA/CzcA family heavy metal efflux RND transporter
WP_010993947.1,efflux RND transporter periplasmic adaptor subunit
WP_010993949.1,ArsR/SmtB family transcription factor
WP_010993951.1,phosphatase PAP2 family protein
WP_010993953.1,IS1634 family transposase
WP_010993955.1,MFS transporter
WP_010993957.1,MFS transporter
WP_010993959.1,CusA/CzcA family heavy metal efflux RND transporter
WP_010993960.1,efflux RND transporter periplasmic adaptor subunit
WP_010993961.1,DUF305 domain-containing protein
WP_010993962.1,four-helix bundle copper-binding protein
WP_010993963.1,heavy metal translocating P-type ATPase
WP_010993964.1,cupredoxin domain-containing protein
WP_010993965.1,heavy metal-responsive transcriptional regulator
WP_010993966.1,heavy-metal-associated domain-containing protein
WP_010993967.1,hypothetical protein
WP_010993968.1,hypothetical protein
WP_010993969.1,thioredoxin family protein
WP_010993971.1,hypothetical protein
WP_010993972.1,ParM/StbA family protein
WP_010993973.1,hypothetical protein
WP_010993974.1,plasmid mobilization protein
WP_010993976.1,class I SAM-dependent methyltransferase
WP_010993977.1,hypothetical protein
WP_010993978.1,hypothetical protein
WP_010993979.1,hypothetical protein
WP_010993980.1,response regulator
WP_010993981.1,DUF6753 family protein
WP_010993982.1,hypothetical protein
WP_010993983.1,hypothetical protein
WP_010993984.1,Rpn family recombination-promoting nuclease/putative transposase
WP_010993986.1,hypothetical protein
WP_010993987.1,hypothetical protein
WP_010993988.1,hypothetical protein
WP_010993989.1,helix-turn-helix domain-containing protein
WP_010993990.1,hypothetical protein
WP_010993992.1,hypothetical protein
WP_010993994.1,DNA translocase FtsK
WP_010993995.1,hypothetical protein
WP_010993999.1,glycoside hydrolase family 24 protein
WP_010994000.1,M23 family metallopeptidase
WP_010994001.1,hypothetical protein
WP_010994002.1,hypothetical protein
WP_010994003.1,hypothetical protein
WP_010994004.1,phage terminase large subunit family protein
WP_010994005.1,hypothetical protein
WP_010994006.1,hypothetical protein
WP_010994007.1,hypothetical protein
WP_010994008.1,hypothetical protein
WP_010994011.1,hypothetical protein
WP_010994012.1,hypothetical protein
WP_010994013.1,hypothetical protein
WP_010994016.1,hypothetical protein
WP_010994017.1,"ribbon-helix-helix protein, CopG family"
WP_010994018.1,hypothetical protein
WP_010994019.1,hypothetical protein
WP_010994020.1,hypothetical protein
WP_010994059.1,tyrosine-type recombinase/integrase
WP_010994060.1,hypothetical protein
WP_010994061.1,hypothetical protein
WP_010994062.1,hypothetical protein
WP_010994063.1,hypothetical protein
WP_010994064.1,ParA family protein
WP_010994065.1,ParB/RepB/Spo0J family partition protein
WP_010994066.1,hypothetical protein
WP_010994068.1,RNA-guided endonuclease InsQ/TnpB family protein
WP_010994071.1,nuclease A inhibitor family protein
WP_010994072.1,DUF4112 domain-containing protein
WP_010994073.1,ATP-binding protein
WP_010994074.1,ISL3 family transposase
WP_010994075.1,four helix bundle protein
WP_010994077.1,ISAzo13-like element ISNsp4 family transposase
WP_010994078.1,linolenate 9R-lipoxygenase
WP_010994081.1,pentapeptide repeat-containing protein
WP_010994083.1,hypothetical protein
WP_010994084.1,type II toxin-antitoxin system tRNA(fMet)-specific endonuclease VapC
WP_010994085.1,hypothetical protein
WP_010994086.1,hypothetical protein
WP_010994087.1,antirestriction protein ArdA
WP_010994088.1,hypothetical protein
