protein_id_7942,protein_id_anabaena,locus_tag_7942,locus_tag_anabaena,ortholog_method,rbh_confirmed
WP_011377778.1,WP_010998481.1,Synpcc7942_0890,alr4344,RBH,True
WP_011244265.1,WP_010998502.1,Synpcc7942_2137,all4365,RBH,True
WP_011378064.1,WP_044521002.1,Synpcc7942_1522,alr1594,RBH,True
WP_011378007.1,WP_010994484.1,Synpcc7942_1372,alr0308,RBH,True
WP_011243131.1,WP_010997950.1,Synpcc7942_0711,alr3809,RBH,True
WP_011377986.1,WP_010999339.1,Synpcc7942_1326,all5215,RBH,True
WP_011378437.1,WP_044521124.1,Synpcc7942_2384,alr1911,RBH,True
WP_011377438.1,WP_010995858.1,Synpcc7942_0097,alr1689,RBH,True
WP_011243004.1,WP_010997859.1,Synpcc7942_0848,alr3716,RBH,True
WP_011243535.1,WP_010998979.1,Synpcc7942_0289,alr4851,RBH,True
WP_011377512.1,WP_044521582.1,Synpcc7942_0260,alr2999,RBH,True
WP_011243979.1,WP_010995247.1,Synpcc7942_2437,alr1073,RBH,True
WP_039755993.1,WP_044522472.1,Synpcc7942_1089,alr5084,RBH,True
WP_011242949.1,WP_010995439.1,Synpcc7942_0903,all1267,RBH,True
WP_011378125.1,WP_010995954.1,Synpcc7942_1650,alr1786,RBH,True
WP_011378362.1,WP_010997727.1,Synpcc7942_2199,all3578,RBH,True
WP_011244356.1,WP_010998738.1,Synpcc7942_2047,all4607,RBH,True
WP_039755577.1,WP_010998989.1,Synpcc7942_2252,all4861,RBH,True
WP_011244535.1,WP_010999418.1,Synpcc7942_1869,alr5294,RBH,True
WP_011243571.1,WP_010995034.1,Synpcc7942_0254,all0860,RBH,True
WP_011244354.1,WP_010999280.1,Synpcc7942_2049,alr5154,RBH,True
WP_039755798.1,WP_010996574.1,Synpcc7942_0876,alr2418,RBH,True
WP_011377725.1,WP_010994811.1,Synpcc7942_0781,all0635,RBH,True
WP_011242975.1,WP_010998468.1,Synpcc7942_0877,alr4330,RBH,True
WP_011244355.1,WP_010999281.1,Synpcc7942_2048,alr5155,RBH,True
WP_011242453.1,WP_010996931.1,Synpcc7942_1416,alr2780,RBH,True
WP_011243248.1,WP_010995490.1,Synpcc7942_0587,all1318,RBH,True
WP_011378240.1,WP_010997434.1,Synpcc7942_1920,alr3283,RBH,True
WP_011242776.1,WP_010994888.1,Synpcc7942_1085,all0713,RBH,True
WP_011244323.1,WP_010995653.1,Synpcc7942_2080,all1483,RBH,True
WP_011378289.1,WP_010995301.1,Synpcc7942_2045,alr1128,RBH,True
WP_011243804.1,WP_010997796.1,Synpcc7942_0003,all3652,RBH,True
WP_011377486.1,WP_010995426.1,Synpcc7942_0194,alr1254,RBH,True
WP_011242967.1,WP_010998476.1,Synpcc7942_0885,all4338,RBH,True
WP_011378463.1,WP_010998533.1,Synpcc7942_2440,all4396,RBH,True
WP_011243271.1,WP_010995305.1,Synpcc7942_0563,all1132,RBH,True
WP_049749327.1,WP_044521735.1,Synpcc7942_1082,all3375,RBH,True
WP_011243295.1,WP_010997495.1,Synpcc7942_0538,alr3344,RBH,True
WP_011377877.1,WP_010994770.1,Synpcc7942_1136,all0594,RBH,True
WP_011242912.1,WP_010997786.1,Synpcc7942_0942,all3642,RBH,True
WP_011378349.1,WP_010998628.1,Synpcc7942_2168,all4495,RBH,True
WP_011242493.1,WP_010995718.1,Synpcc7942_1377,all1549,RBH,True
WP_011242782.1,WP_010998919.1,Synpcc7942_1079,all4789,RBH,True
WP_011378479.1,WP_010995910.1,Synpcc7942_2468,alr1742,RBH,True
WP_011377984.1,WP_010994665.1,Synpcc7942_1324,alr0489,RBH,True
WP_011378455.1,WP_010997711.1,Synpcc7942_2423,alr3561,RBH,True
WP_011377764.1,WP_010996967.1,Synpcc7942_0854,alr2816,RBH,True
WP_011378431.1,WP_010997294.1,Synpcc7942_2369,all3143,RBH,True
WP_011378089.1,WP_010993963.1,Synpcc7942_1570,alr7635,RBH,True
WP_011378067.1,WP_010998279.1,Synpcc7942_1525,all4140,RBH,True
WP_011243925.1,WP_010999389.1,Synpcc7942_2491,all5265,RBH,True
WP_011243527.1,WP_010995433.1,Synpcc7942_0297,alr1261,RBH,True
WP_011378279.1,WP_010997973.1,Synpcc7942_2020,alr3832,RBH,True
WP_011377966.1,WP_010999084.1,Synpcc7942_1293,alr4958,RBH,True
WP_011377813.1,WP_010998129.1,Synpcc7942_0976,all3989,RBH,True
WP_011242393.1,WP_010995909.1,Synpcc7942_1622,all1741,RBH,True
WP_011377576.1,WP_010994775.1,Synpcc7942_0430,alr0599,RBH,True
WP_011377978.1,WP_010996592.1,Synpcc7942_1313,all2436,RBH,True
WP_011377840.1,WP_044521749.1,Synpcc7942_1037,all3401,RBH,True
WP_011377593.1,WP_010996664.1,Synpcc7942_0479,all2508,RBH,True
WP_011378530.1,WP_010994511.1,Synpcc7942_2606,alr0335,RBH,True
WP_011244786.1,WP_010997030.1,Synpcc7942_1490,alr2879,RBH,True
WP_011244730.1,WP_010998383.1,Synpcc7942_1669,all4245,RBH,True
WP_011378523.1,WP_010997141.1,Synpcc7942_2580,alr2990,RBH,True
WP_011244099.1,WP_010997806.1,Synpcc7942_2313,alr3662,RBH,True
WP_011377772.1,WP_010998535.1,Synpcc7942_0874,alr4398,RBH,True
WP_011378236.1,WP_010999865.1,Synpcc7942_1905,all7315,RBH,True
WP_011378262.1,WP_010998097.1,Synpcc7942_1977,alr3956,RBH,True
WP_011377931.1,WP_010994788.1,Synpcc7942_1235,alr0612,RBH,True
WP_039755667.1,WP_010995022.1,Synpcc7942_1703,all0848,RBH,True
WP_011378253.1,WP_010999179.1,Synpcc7942_1959,alr5053,RBH,True
WP_173282570.1,WP_010996997.1,Synpcc7942_0189,all2846,RBH,True
WP_011244591.1,WP_010996479.1,Synpcc7942_1813,alr2323,RBH,True
WP_011244459.1,WP_010996881.1,Synpcc7942_1945,alr2728,RBH,True
WP_011377461.1,WP_010998744.1,Synpcc7942_0139,all4613,RBH,True
WP_011243497.1,WP_010994197.1,Synpcc7942_0328,alr0020,RBH,True
WP_011244516.1,WP_010996606.1,Synpcc7942_1889,alr2450,RBH,True
WP_011243334.1,WP_010996517.1,Synpcc7942_0498,alr2361,RBH,True
